Jahr,Einwohnerzahl*,Anzahl Haushalte,gesamt,Erdgas,Fernwärme,Heizöl,Kohle,Sonstige,Strom,Kraftstoffe,Private Haushalte,Industrie,GHD,Städtische Stellen,Verkehr,gesamt,Erdgas,Fernwärme,Heizöl,Kohle,Sonstige,Strom,Kraftstoffe,Private Haushalte,Industrie,GHD,Städtische Stellen,Verkehr,Endenergie pro Kopf,"Spezifische CO2-Emissionen Fernwärme* 
",Tarifkunden Ökostrom (OK power)*,Absatz Ökostrom (OK power) an Tarifkunden*,"Fernwärmebeheizte Wohnungen*
",Anteil fernwärmebeheizter Wohnungen* ,Anzahl anzeige- und bewilligungspflichtiger Anlagen*,Erzeugungsleistung anzeige- und bewilligungspflichtiger Anlagen*,"Installierte Leistung MStDR
","Einwohnerbezogene installierte Leistung
",Wärme Haushalte gesamt,Strom Haushalte gesamt,Spezif. Stromverbrauch Privathaushalte ,zugelassene PKW, PKW-Dichte/Motorisierungsgrad*,"Jahresfahrleistung insgesamt Stadt Karlsruhe, Stala",Angemeldete Carsharing-Nutzer*,Anteil Carsharingnutzer*,Länge Liniennetz im Stadtgebiet*,Beförderte Personen/Anzahl Fahrgäste (VBK/AVG) im Stadtgebiet*,Erfasste Fahrradnutzer am Radzähler Erbprinzenstr.*,Ausgaben für Radwegeinfrastruktur**,"Installierte Leistung auf städt. Dächern 
",Zubau an Leistung,LED-Anteil Straßenbeleuchtung,(Vor-Ort)-Beratungen Stromsparpartner,Energiechecks VZ (meist Vor-Ort),Beratungsgespräche im Rahmen Energiequartiere,Fördervolumen KlimaBonus Karlsruhe (davor Bonus-Programm) (genehmigte zw. ausbezahlte Beträge)*,"Fördervolumen Modernisierungsmaßnahmen Sanierungsgebiete (nur energetische Maßnahmen und nur städt. Anteil, exkl. Landes-/Bundesmittel*-zu 60% vom Land gefördert",Fördervolumen Stadtwerke-Förderprogramme*
Topic,Basics-|Grunddaten,Basics-|Grunddaten,Basics-|Energieverbrauch,MB-|Energieverbrauch nach Energieträgern,MB-|Energieverbrauch nach Energieträgern,MB-|Energieverbrauch nach Energieträgern,MB-|Energieverbrauch nach Energieträgern,MB-|Energieverbrauch nach Energieträgern,MB-|Energieverbrauch nach Energieträgern,MB-|Energieverbrauch nach Energieträgern,MB-|Energieverbrauch nach Sektoren,MB-|Energieverbrauch nach Sektoren,MB-|Energieverbrauch nach Sektoren,MB-|Energieverbrauch nach Sektoren,MB-|Energieverbrauch nach Sektoren,MB-|CO2-Emissionen,MB-|CO2-Emissionen nach Energieträgern,MB-|CO2-Emissionen nach Energieträgern,MB-|CO2-Emissionen nach Energieträgern,MB-|CO2-Emissionen nach Energieträgern,MB-|CO2-Emissionen nach Energieträgern,MB-|CO2-Emissionen nach Energieträgern,MB-|CO2-Emissionen nach Energieträgern,MB-|CO2-Emissionen Energieverbrauch nach Sektoren,MB-|CO2-Emissionen Energieverbrauch nach Sektoren,MB-|CO2-Emissionen Energieverbrauch nach Sektoren,MB-|CO2-Emissionen Energieverbrauch nach Sektoren,MB-|CO2-Emissionen Energieverbrauch nach Sektoren,MB-|Übergreifende Kennzahlen,MB-1.2|Roadmap für eine Transformation (Defossilisierung) der Wärmeversorgung,MB-1.3|Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke,MB-1.3|Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke,MB-2.1|Weiterer Ausbau und Verdichtung des Fernwärmenetzes,MB-2.1|Weiterer Ausbau und Verdichtung des Fernwärmenetzes,MB-3.2|Steigerung der Versorgung mit privater Wärmepumpe,MB-3.2|Steigerung der Versorgung mit privater Wärmepumpe,MB-4.1 bis 4.5|Photovoltaik-Ausbau,MB-4.1 bis 4.5|Photovoltaik-Ausbau,MB-4.5|Ausrollung von Mieterstromprojekten mit der Wohnungswirtschaft,MB-4.5|Ausrollung von Mieterstromprojekten mit der Wohnungswirtschaft,MB-4.5|Übergreifende Kennzahlen,MB-2.6|Übergreifende Kennzahlen,MB-1.1| Modellkommune nachhaltiger Verkehr ,MB-1.1| Modellkommune nachhaltiger Verkehr ,MB-1.5|Weitere Unterstützung des Carsharings,MB-1.5|Weitere Unterstützung des Carsharings,MB-2.1|Netzausbau,MB-2.2|Kapazitätssteigerung,MB-4.1|Forcierung des Umbaus zur Fahrradstadt,MB-4.1|Forcierung des Umbaus zur Fahrradstadt,MB-1.3|Ausbau PV auf städt. Gebäuden,MB-1.3|Ausbau PV auf städt. Gebäuden,MB-1.6|Komplette Umstellung der Straßenbeleuchtung auf LED,MB-2.1|Neuausrichtung der energie- und klimaschutzbezogenen Erstberatung (Beratungszentrum),MB-2.1|Neuausrichtung der energie- und klimaschutzbezogenen Erstberatung (Beratungszentrum),MB-2.1|Neuausrichtung der energie- und klimaschutzbezogenen Erstberatung (Beratungszentrum),MB-2.2|Weiterentwicklung der kommunalen Förderprogrammatik,MB-2.2|Weiterentwicklung der kommunalen Förderprogrammatik,MB-2.2|Weiterentwicklung der kommunalen Förderprogrammatik
Einheit,Anzahl,Anzahl,,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,,t,t,t,t,t,t,t,t,t,t,t,t,,g/kWh,Anzahl,MWh,Anzahl,%,Anzahl,kW,kWp,kWp/TEW,,GWh/a,kWh/EW,Anzahl,Anzahl/ 1.000 Einw.,Mill. Km,Anzahl,Anzahl/1.000 EW,km,Tsd. Fahrgäste,Anzahl,Euro/EW,kWp,kWp pro Jahr,%,Anzahl,,,Euro,Euro,Euro
2023,308.707,173.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,44.614,28,,,74.264,241,,,,,,,,,,,1.637.095,"4,70",2.275,575,,,,,1.931.779,267.571,0
2022,303.989,172.687,7.248,1.342,903,498,185,781,1.577,1.962,1.874,1.493,1.680,200,2.001,2.062.205,331.506,122.818,158.304,80.242,108.279,674.746,586.310,497.834,407.370,510.182,43.837,602.983,23.84,81,16661,33622,42.606,27,360,9.114,56.100,185,1502,372,"1223,72849017563",141.504,"472,6","2102,1",18.081,59,146,125.776,1.612.135,"4,28",1.700,103,68,187,190,262,1.964.637,390.728,6.079
2021,301.749,171.448,7.650,1.564,916,510,95,1.059,1.560,1.936,2.008,1.709,1.762,197,1.972,2.184.614,386.227,124.567,162.134,41.282,155.495,736.407,578.501,556.043,312.584,562.868,47.243,595.728,25.35,81,16982,32900,41.684,"26,3",318,8.505,49.586,164,1622,387,"1282,52289154231",142.078,460,"2034,4",16.357,53,146,93.605,1.638.479,"5,98",1.597,524,59,136,194,39,1.015.833,105.970,37.700
2020,299.785,172.567,8.034,1.563,905,542,42,1.495,1.501,1.954,2.067,2.019,1.754,207,1.987,2.068.953,356.359,123.195,173.536,15.212,196.421,592.152,612.078,518.287,393.510,490.584,41.595,624.977,26.80,81,12.578,24.600,39.692,"25,1",303,7.276,39.749,133,1690,377,"1257,56792367864",141.949,474,"1989,3",14.522,48,138,100.475,1.776.496,"5,67",1.073,269,52,150,134,17,250.669,112.784,28.211
2019,304.411,174.275,8.475,1.584,872,572,88,1.418,1.643,2.298,2.045,1.792,2.103,205,2.331,2.351.114,361.258,111.101,182.960,32.156,187.435,785.323,690.882,548.421,574.849,474.109,47.192,706.543,27.84,64,11.419,17.700,36.475,"23,1",278,6.759,37.093,122,1668,377,"1238,45721738045",141.805,468,"2372,6",13.087,43,139,166.714,1.906.726,"8,33",804,69,47,325,167,12,210.381,187.097,60.520
2018,305.616,173.856,8.515,1.585,877,613,61,1.361,1.706,2.311,2.064,1.805,2.084,218,2.343,2.404.872,361.423,115.478,196.232,22.387,179.355,835.277,694.720,561.779,589.446,491.065,52.066,710.516,27.86,77,9.064,16.100,35.038,"22,2",261,6.429,35.048,115,1679,385,"1259,75079838752",140.712,464,"2375,2",11.744,38,139,166.096,1.899.510,"9,61",734,123,,,72,4,200.000,255.855,86.850
2017,305.220,173.144,8.449,1.536,827,762,87,1.204,1.735,2.298,1.993,1.766,2.156,205,2.330,2.478.634,350.191,104.387,243.903,31.656,158.598,865.273,724.626,548.522,593.283,546.824,49.436,740.568,27.68,73,9.064,16.895,34.002,"21,7",252,6.304,33.461,110,1614,379,"1241,72727868423",139.186,461,"2365,5",10.505,37,139,171.600,1.682.364,"7,72",611,137,,250,144,114,256.500,338.275,83.050
2016,304.619,173.996,8.378,1.555,787,714,87,1.221,1.731,2.284,1.993,1.777,2.088,201,2.318,2.509.684,354.583,108.304,228.378,31.743,161.226,905.471,719.978,565.496,625.926,529.920,50.486,737.855,27.50,79,7.786,15.231,33.474,"21,4",238,6.089,32.644,107,1607,386,"1267,1566776859",137.811,458,2.353,9.448,33,139,186.466,1.699.878,,474,287,14,359,118,9,374.271,241.340,83.243
2015,307.263,180.035,8.196,1.521,817,635,138,1.032,1.830,2.222,1.966,1.793,1.974,206,2.256,2.551.016,346.868,125.897,203.326,50.390,134.804,988.065,701.666,572.892,652.769,551.373,53.535,720.447,26.67,112,6.979,6.979,32.327,"20,8",225,5.760,30.055,98,1568,398,"1295,3072774789",135.651,442,2.312,8.538,30,140,184.492,1.839.184,,187,5,,452,198,11,287.548,203.460,159.850
2014,299.482,175.470,8.403,1.540,795,698,183,1.139,1.823,2.225,1.987,1.795,2.150,212,2.259,2.632.821,351.228,122.855,223.246,66.879,149.303,1.017.183,702.125,590.694,669.439,596.597,55.117,720.973,28.06,121,6.623,6.623,30.358,"19,6",216,5.655,27.721,93,1583,404,"1348,99593297761",134.706,450,,7.260,28,140,178.671,1.847.099,,182,46,,350,103,4,200.199,200.190,183.150
2013,293.142,172.469,8.471,1.626,790,595,254,1.078,1.898,2.231,2.060,1.807,2.120,213,2.272,2.701.459,370.766,128.438,190.329,92.532,142.768,1.081.648,694.978,617.979,696.407,610.130,58.899,718.045,28.90,103,5.551,15.070,26.439,"17,1",203,5.350,26.720,91,1655,405,"1381,58298708476",134.780,460,,6.071,25,140,186.246,1.589.802,,136,56,,327,57,137,228.061,322.000,219.550
2012,289.655,172.877,8.453,1.565,757,608,246,1.129,1.922,2.226,2.048,1.789,2.141,210,2.265,2.753.281,356.785,116.802,194.646,89.759,149.541,1.116.490,729.258,623.056,699.990,621.303,57.304,751.628,29.18,111,6.491,14.019,25.795,"16,7",189,5.040,25.279,87,1632,416,"1436,19133106627",133.429,461,,5.315,22,127,184.127,1.079.262,,80,52,,385,,,193.060,123.500,225.900
2011,285.688,166.178,8.408,1.612,760,621,298,1.116,1.779,2.222,2.045,1.798,2.093,213,2.259,2.663.711,367.554,108.926,198.860,108.885,146.913,1.013.937,718.637,615.908,685.698,565.810,56.184,740.112,29.43,99,5.339,11.687,23.937,"16,3",183,4.950,18.214,64,1626,419,"1466,6349304136",131.995,462,,4.541,20,123,184.677,,,28,0,,365,,,102.850,111.500,210.850
2010,283.048,163.444,8.421,1.919,748,615,382,600,1.921,2.237,2.074,1.777,2.083,212,2.276,2.752.286,437.436,115.196,196.890,139.340,107.397,1.062.080,693.945,621.908,667.750,689.428,57.326,715.874,29.75,162,3.805,10.117,23.581,"16,1",156,3.650,13.752,49,1652,422,"1490,91320200107",130.478,461,2.247,3.906,18,123,182.550,,,28,,,650,,,0,84.000,677.233
